R,type,monthly_safe_revenue,cap_star,L_star,T_star,eligible,reject_reason,seller_id,cv,sim_feasible
761.5872192382812,stable,-52.05127807617188,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_001cca7a_0,0.2674659490585327,
674.4561767578125,stable,-60.76438232421876,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_001cca7a_1,0.40033894777297974,
1174.4149169921875,stable,-10.76850830078125,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_004c9cd9_0,0.24276421964168549,
1038.9547119140625,stable,-24.31452880859375,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_004c9cd9_1,0.20044881105422974,
1417.6912841796875,stable,13.559128417968736,1.05,464.8844029017852,36,True,,k_00ee6830_0,0.2769779860973358,False
1982.48046875,stable,70.03804687499999,1.05,2401.304464285714,36,True,,k_00ee6830_1,0.2438211292028427,False
155.27896118164062,growth,-112.68210388183594,1.1500000000000001,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_013900e8_0,1.172018051147461,
250.74420166015625,stable,-103.13557983398438,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_013900e8_1,0.7498373985290527,
432.0402526855469,stable,-85.00597473144532,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_014c0679_0,0.7913909554481506,
454.6339416503906,stable,-82.74660583496095,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_014c0679_1,0.7285670638084412,
63.71530532836914,volatile,-121.8384694671631,1.35,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_01c97ebb_0,1.554194688796997,
104.8895492553711,stable,-117.7210450744629,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_01c97ebb_1,0.8928719162940979,
491.369384765625,stable,-79.0730615234375,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_01cf7e3d_0,0.8649523854255676,
469.3306579589844,stable,-81.27693420410156,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_01cf7e3d_1,0.7501207590103149,
785.5473022460938,stable,-49.65526977539062,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_01fdefa7_0,0.2307685911655426,
1014.5042114257812,stable,-26.75957885742187,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_01fdefa7_1,0.1552184671163559,
257.509033203125,stable,-102.4590966796875,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_02c98809_0,0.3908825218677521,
275.1445007324219,stable,-100.69554992675782,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_02c98809_1,0.35464346408843994,
354.6754455566406,stable,-92.74245544433595,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_02d35243_0,0.7563668489456177,
377.151123046875,stable,-90.49488769531251,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_02d35243_1,0.8373432755470276,
355.1429748535156,stable,-92.69570251464845,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_02ecc2a1_0,0.6015846729278564,
514.9419555664062,stable,-76.71580444335939,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_02ecc2a1_1,0.6293736696243286,
218.80870056152344,decline,-106.32912994384766,1.3,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0432ead4_0,1.1654458045959473,
296.11669921875,stable,-98.598330078125,1.1,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0432ead4_1,1.240022897720337,
705.7313842773438,stable,-57.63686157226563,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_048c2757_0,0.17540138959884644,
627.3593139648438,stable,-65.47406860351563,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_048c2757_1,0.1825471669435501,
256.1523132324219,decline,-102.59476867675782,1.25,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_04aba032_0,0.8555235266685486,
264.218017578125,stable,-101.7881982421875,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_04aba032_1,0.47348299622535706,
352.5953674316406,stable,-92.95046325683595,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0509040e_0,0.35467204451560974,
328.3812561035156,growth,-95.37187438964844,1.1,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0509040e_1,0.3483865261077881,
479.9444885253906,stable,-80.21555114746094,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_054694fa_0,0.8684079647064209,
461.7958068847656,stable,-82.03041931152345,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_054694fa_1,0.5956467390060425,
233.66864013671875,stable,-104.84313598632814,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_058cb5ae_0,0.7394946813583374,
227.6696319580078,stable,-105.44303680419922,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_058cb5ae_1,0.7670001983642578,
771.5640258789062,stable,-51.05359741210938,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_05d2173d_0,0.399017870426178,
468.2432556152344,stable,-81.38567443847657,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_05d2173d_1,0.4128211736679077,
809.1952514648438,stable,-47.29047485351563,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_05ff92fe_0,0.7609788775444031,
1091.1075439453125,stable,-19.099245605468752,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_05ff92fe_1,0.5381682515144348,
563.5459594726562,stable,-71.85540405273437,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_06579cb2_0,0.18539929389953613,
651.507080078125,stable,-63.05929199218751,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_06579cb2_1,0.18035168945789337,
589.6769409179688,stable,-69.24230590820312,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_066a6914_0,0.6054890751838684,
526.3309936523438,stable,-75.57690063476562,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_066a6914_1,0.7000448107719421,
2289.2548828125,growth,100.71548828125,1.1,3296.143252840909,36,True,,k_06e5eefc_0,0.40266719460487366,False
2417.559814453125,growth,113.54598144531249,1.1,3716.05030184659,36,True,,k_06e5eefc_1,0.41828930377960205,False
38.0567626953125,volatile,-124.40432373046876,1.35,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_07017df3_0,1.9266016483306885,
62.17475509643555,other,-121.99252449035646,1.2000000000000002,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_07017df3_1,1.4681135416030884,
617.478759765625,stable,-66.4621240234375,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_070d1653_0,0.491047739982605,
436.9546813964844,stable,-84.51453186035157,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_070d1653_1,0.4563959538936615,
219.5343017578125,stable,-106.25656982421876,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0725b8c0_0,0.862880527973175,
105.49858856201172,seasonal,-117.66014114379884,1.25,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0725b8c0_1,1.0895882844924927,
202.1792755126953,stable,-107.99207244873048,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_07bf9669_0,0.7872240543365479,
242.4850311279297,stable,-103.96149688720703,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_07bf9669_1,0.49539658427238464,
910.9560546875,stable,-37.11439453125,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_080102cd_0,0.44302716851234436,
1354.2647705078125,growth,7.216477050781236,1.1,236.17561257102227,36,True,,k_080102cd_1,0.45588696002960205,False
1041.2056884765625,stable,-24.08943115234375,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_080199a1_0,0.36934375762939453,
1047.1427001953125,stable,-23.495729980468752,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_080199a1_1,0.1929449737071991,
56.76271438598633,stable,-122.53372856140138,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_08d0949a_0,0.9014933705329895,
73.57288360595703,stable,-120.8527116394043,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_08d0949a_1,0.7014458179473877,
1363.1326904296875,growth,8.103269042968748,1.1,265.1978959517044,36,True,,k_09f952a5_0,0.19517245888710022,False
1188.4205322265625,growth,-9.367946777343747,1.1,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_09f952a5_1,0.2637050747871399,
243.29615783691406,stable,-103.8803842163086,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0ac4201f_0,0.7663602232933044,
257.46337890625,decline,-102.46366210937501,1.3,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0ac4201f_1,1.1051512956619263,
792.1178588867188,stable,-48.998214111328124,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0adac9fb_0,0.6664304733276367,
1083.5670166015625,stable,-19.853298339843747,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0adac9fb_1,0.5449787974357605,
97.26270294189453,stable,-118.48372970581056,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0afccdb8_0,0.7082390785217285,
113.85102081298828,stable,-116.82489791870118,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0afccdb8_1,0.6221868395805359,
156.03782653808594,decline,-112.60621734619141,1.3,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0b18d63d_0,1.054463267326355,
143.49525451660156,other,-113.86047454833985,1.1500000000000001,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0b18d63d_1,0.9920363426208496,
623.2335815429688,stable,-65.88664184570314,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0bae85eb_0,0.1851855367422104,
525.0037231445312,stable,-75.70962768554688,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0bae85eb_1,0.250308632850647,
421.9930114746094,stable,-86.01069885253906,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0bb738e4_0,0.6596896648406982,
268.51458740234375,stable,-101.35854125976563,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0bb738e4_1,0.7012074589729309,
918.4558715820312,stable,-36.36441284179688,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0be8ff43_0,0.4043359160423279,
1053.4429931640625,stable,-22.865700683593758,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0be8ff43_1,0.4193253517150879,
468.44873046875,stable,-81.36512695312501,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0bf0150d_0,0.34919849038124084,
577.6133422851562,stable,-70.44866577148437,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0bf0150d_1,0.4457857012748718,
465.1785888671875,stable,-81.69214111328125,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0c7533c7_0,0.2688637375831604,
331.8174133300781,stable,-95.0282586669922,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0c7533c7_1,0.43391865491867065,
817.339599609375,stable,-46.4760400390625,1.05,0.0,0,False,가계비 충당 불가 (R × m_i ≤ L_personal),k_0c8380b6_0,0.5070610046386719,
