seller_id,type,horizon,actual,pred,ape,mape,smape
k_9646c351_1,decline,h+1,26.42600525640427,115.46671794223732,336.94352143615913,336.94352143615913,125.5042692516109
k_9646c351_1,decline,h+2,18.98923826068615,0.0,100.0,100.0,200.0
k_9646c351_1,decline,h+3,126.72011534167525,0.0,100.0,100.0,200.0
k_9646c351_1,decline,h+4,87.23826750993473,0.0,100.0,100.0,200.0
k_9646c351_1,decline,h+5,157.16128222749524,0.0,100.0,100.0,200.0
k_9646c351_1,decline,h+6,57.750576780800934,0.0,100.0,100.0,200.0
k_6989574b_0,decline,h+1,0.0,201.89929394035238,,,200.0
k_6989574b_0,decline,h+2,0.0,247.33471876620035,,,200.0
k_6989574b_0,decline,h+3,207.70915903562135,232.58964947687997,11.978523506992632,11.978523506992632,11.301638778135457
k_6989574b_0,decline,h+4,261.55089236693163,245.27209504903396,6.223950211211678,6.223950211211678,6.423859107454867
k_6989574b_0,decline,h+5,0.0,230.52702576154343,,,200.0
k_6989574b_0,decline,h+6,281.9778033404368,243.2094713334988,13.748717646449752,13.748717646449752,14.763621997889215
k_70f84699_0,decline,h+1,521.9493173175932,346.38060144105617,33.637119553833585,33.637119553833585,40.43825096514635
k_70f84699_0,decline,h+2,0.0,247.86112855506303,,,200.0
k_70f84699_0,decline,h+3,0.0,190.89086593972237,,,200.0
k_70f84699_0,decline,h+4,287.8118269523466,257.40277342862294,10.565602479135979,10.565602479135979,11.154893321813212
k_70f84699_0,decline,h+5,0.0,200.43251081302407,,,200.0
k_70f84699_0,decline,h+6,268.05687267767837,266.9444183020886,0.41500684704601265,0.41500684704601265,0.415869791099943
k_0432ead4_0,decline,h+1,0.0,0.0,,,
k_0432ead4_0,decline,h+2,0.0,0.0,,,
k_0432ead4_0,decline,h+3,8.81848831170431,0.0,100.0,100.0,200.0
k_0432ead4_0,decline,h+4,0.0,0.0,,,
k_0432ead4_0,decline,h+5,25.727397953394476,0.0,100.0,100.0,200.0
k_0432ead4_0,decline,h+6,0.0,0.0,,,
k_f8d5c708_1,decline,h+1,0.0,24.75024692168654,,,200.0
k_f8d5c708_1,decline,h+2,0.0,34.969774941409554,,,200.0
k_f8d5c708_1,decline,h+3,67.22702366898493,47.29092440675984,29.654889022585973,29.654889022585973,34.817423115263814
k_f8d5c708_1,decline,h+4,67.91633231613324,31.156792091391992,54.12474285807269,54.12474285807269,74.20688596341294
k_f8d5c708_1,decline,h+5,80.29428141541776,43.477941556122076,45.85175831989744,45.85175831989744,59.49047205488298
k_f8d5c708_1,decline,h+6,0.0,27.343809240736633,,,200.0
k_e6a69c4a_0,decline,h+1,135.40761512259408,0.0,100.0,100.0,200.0
k_e6a69c4a_0,decline,h+2,99.39009325416961,0.0,100.0,100.0,200.0
k_e6a69c4a_0,decline,h+3,85.23211057652802,0.0,100.0,100.0,200.0
k_e6a69c4a_0,decline,h+4,151.7715718845939,0.0,100.0,100.0,200.0
k_e6a69c4a_0,decline,h+5,0.0,0.0,,,
k_e6a69c4a_0,decline,h+6,220.5780362562955,0.0,100.0,100.0,200.0
k_96163520_1,decline,h+1,0.0,44.747309409216655,,,200.0
k_96163520_1,decline,h+2,7.949885955382413,0.48277376479916256,93.92728691318769,93.92728691318769,177.09981045985964
k_96163520_1,decline,h+3,129.5209804229078,1.8285861415958493,98.58819309765475,98.58819309765475,194.43139040524247
k_96163520_1,decline,h+4,137.0786114074153,0.0,100.0,100.0,200.0
k_96163520_1,decline,h+5,209.2692518170522,0.0,100.0,100.0,200.0
k_96163520_1,decline,h+6,52.36738498272653,0.0,100.0,100.0,200.0
k_9c3c24ec_0,decline,h+1,99.16528997227093,47.04658292070309,52.557409014930045,52.557409014930045,71.29203124252206
k_9c3c24ec_0,decline,h+2,0.0,29.980356704231667,,,200.0
k_9c3c24ec_0,decline,h+3,0.0,22.40008800509012,,,200.0
k_9c3c24ec_0,decline,h+4,0.0,27.030099803511114,,,200.0
k_9c3c24ec_0,decline,h+5,0.0,19.449831104498205,,,200.0
k_9c3c24ec_0,decline,h+6,0.0,24.079842902969645,,,200.0
k_ab9db4cf_1,decline,h+1,0.0,77.40047113593522,,,200.0
k_ab9db4cf_1,decline,h+2,0.0,52.421397026111364,,,200.0
k_ab9db4cf_1,decline,h+3,65.25458296276949,40.079416879012506,38.57992027643558,38.57992027643558,47.80064579636508
k_ab9db4cf_1,decline,h+4,11.146639443830345,54.092570577328814,385.2814236067266,385.2814236067266,131.6568092089703
k_ab9db4cf_1,decline,h+5,0.0,41.75059043018184,,,200.0
k_ab9db4cf_1,decline,h+6,37.05077988906086,55.763744128551565,50.50626274405536,50.50626274405536,40.32335334918001
k_eba88037_1,decline,h+1,0.0,94.53760524511847,,,200.0
k_eba88037_1,decline,h+2,0.0,94.40462357681461,,,200.0
k_eba88037_1,decline,h+3,212.75246467071693,86.1594405617239,59.50249474426755,59.50249474426755,84.70256412875315
k_eba88037_1,decline,h+4,294.7194424292074,83.47622573048588,71.67603703290219,71.67603703290219,111.71107153428525
k_eba88037_1,decline,h+5,260.17323269483273,75.23104271573679,71.08424954538725,71.08424954538725,110.28016250103406
k_eba88037_1,decline,h+6,0.0,72.54782788447663,,,200.0
k_cd843d4c_1,decline,h+1,0.0,137.6232241114215,,,200.0
k_cd843d4c_1,decline,h+2,283.9128735682638,112.38406917571709,60.416000950131085,60.416000950131085,86.56579745726638
k_cd843d4c_1,decline,h+3,255.55307850121252,82.58703724508439,67.68302000921013,67.68302000921013,102.30436035332926
k_cd843d4c_1,decline,h+4,213.27207351450124,101.64015923873546,52.34249024552925,52.34249024552925,70.89715969416778
k_cd843d4c_1,decline,h+5,343.0528378162184,71.84312730892151,79.057707912794,79.057707912794,130.7362487487654
k_cd843d4c_1,decline,h+6,134.20809841675452,90.89624930258546,32.2721576604665,32.2721576604665,38.48157492557208
