seller_id,type,cv,mean_rev,L,target,r_star,cvar,expected_recovery,status
k_001cca7a_0,stable,0.2674659487486858,761.5872157744889,2284.7616473234666,2741.71397678816,0.14543014951587502,1935.3082725524157,2653.6522620904084,optimal
k_001cca7a_1,stable,0.40033894189186436,674.4561593682663,2023.368478104799,2428.0421737257584,0.14268409496493156,1710.1191494885911,2311.2327278497646,optimal
k_004c9cd9_0,stable,0.24276421407126092,1174.4149569116182,3523.244870734855,4227.893844881825,0.1472638299287593,1283.591988718384,4142.096246808868,optimal
k_004c9cd9_1,stable,0.20044880577176258,1038.9547400759864,3116.864220227959,3740.2370642735505,0.1449830823879934,1507.31122291726,3622.1236358162423,optimal
k_00ee6830_0,stable,0.2769780251960196,1417.6912468646813,4253.073740594044,5103.688488712852,0.14859044930357862,825.990126139564,5046.889777786164,optimal
k_00ee6830_1,stable,0.2438211379378231,1982.480389723674,5947.441169171022,7136.929403005226,0.15172661685412528,294.162646969138,7127.390786591494,optimal
k_013900e8_0,growth,0.5345224486768364,155.2789629979724,465.8368889939172,559.0042667927006,0.030000000000076035,111.9719958849248,111.81573454308476,optimal
k_013900e8_1,stable,0.4866067618700456,250.74419644404838,752.2325893321452,902.6791071985741,0.06983522219852697,405.39871512729684,419.72926141525903,optimal
k_014c0679_0,stable,0.6503939159918088,432.0402560641719,1296.1207681925157,1555.3449218310188,0.13959695078430007,1122.6299984810876,1429.4226910705243,optimal
k_014c0679_1,stable,0.460316494731717,454.63394022418885,1363.9018206725666,1636.68218480708,0.13695491616133584,1146.2601095064229,1492.7642186279138,optimal
k_01c97ebb_0,volatile,0.372165044767972,63.71530731393042,191.14592194179124,229.3751063301495,0.030000000001449163,46.17419896313293,45.951381998739336,optimal
k_01c97ebb_1,stable,0.5225237956931301,104.8895451411668,314.6686354235004,377.6023625082005,0.030000000000877384,75.68009223677662,75.3102272219981,optimal
k_01cf7e3d_0,stable,0.5577695881262927,491.36938066103886,1474.1081419831166,1768.92977037974,0.1384577799458956,982.1624155990502,1634.9462741325563,optimal
k_01cf7e3d_1,stable,0.41474197849925293,469.3306045802913,1407.991813740874,1689.5901764890489,0.13854797238268213,1194.790068669564,1565.0841918731512,optimal
k_01fdefa7_0,stable,0.23076859767712735,785.5473376991245,2356.6420130973734,2827.970415716848,0.14414846628140224,1924.57911471198,2717.3632353978546,optimal
k_01fdefa7_1,stable,0.1552184629908166,1014.5042798260241,3043.5128394780722,3652.2154073736865,0.1467015371488914,1616.9715830116245,3571.0631223294827,optimal
k_02c98809_0,stable,0.23816675994550482,257.5090165181432,772.5270495544296,927.0324594653155,0.030000000005709095,185.39033373685618,185.0814693962251,optimal
k_02c98809_1,stable,0.17876705572271087,275.1445060761807,825.433518228542,990.5202218742503,0.030000000005144127,198.38405984707245,198.13682274021804,optimal
k_02d35243_0,stable,0.5568443437170307,354.67545650351764,1064.026369510553,1276.8316434126634,0.136297702709797,1018.6326039536758,1156.3492837859294,optimal
k_02d35243_1,stable,0.45274366951509026,377.15111268355344,1131.4533380506602,1357.7440056607923,0.13846652389582903,1050.5030385911164,1249.3167517173008,optimal
k_02ecc2a1_0,stable,0.2795962866657844,355.14299802363445,1065.4289940709034,1278.514792885084,0.05525644023030431,450.968506518033,470.0880241764599,optimal
